ínì_,ì˙,éû,é¸ä˙(s),îgçÇ(m),îgå¸(16ï˚à )
C, 4,12, 5,  1.0,16
C, 5,00,10,  1.0, 3
C, 5,12, 5,  1.2,13
C, 6,00, 6,  2.3,14
C, 6,12, 6,  1.9,14
C, 7,00, 4,  0.8, 9
C, 7,12, 6,  2.3,14
C, 8,00, 6,  1.8,13
C, 8,12, 6,  1.9,12
C, 9,00, 5,  1.5,12
C, 9,12, 5,  1.5,13
C,10,00, 5,  1.3,12
C,10,12, 5,  1.0,14
C,11,00,10,  1.0, 7
C,11,12, 7,  2.2, 8
C,12,00, 9,  2.2, 5
C,12,12, 6,  1.8,16
C,13,00, 4,  0.9,16
C,13,12, 5,  1.9, 7
C,14,00, 7,  2.4,10
C,14,12, 7,  3.1,14
C,15,00, 6,  2.4,13
C,15,12, 6,  2.3,13
C,16,00, 6,  2.5,13
C,16,12, 7,  2.9,13
C,17,00, 7,  3.1,14
C,17,12, 6,  2.0,14
C,18,00, 5,  1.1, 8
C,18,12, 9,  2.6, 8
C,19,00, 6,  2.2,12
C,19,12, 6,  2.5,13
C,20,00, 7,  3.5,13
C,20,12, 6,  2.0,14
C,21,00, 6,  1.7,14
C,21,12, 5,  1.7,14
C,22,00, 5,  1.1,14
C,22,12, 2,  0.3,11
C,23,00, 8,  0.6, 8
C,23,12, 7,  1.7, 8
C,24,00, 7,  1.3, 8
C,24,12,10,  1.4, 8
C,25,00,11,  2.5, 8
C,25,12,11,  2.4, 8
C,26,00,10,  1.0, 7
C,26,12,10,  1.1, 7
C,27,00,10,  1.2, 7
C,27,12,11,  2.1, 8
C,28,00, 6,  2.4,15
C,28,12, 6,  1.7,16
C,29,00, 4,  1.0, 5
C,29,12, 5,  1.5, 1
C,30,00, 5,  1.5,15
C,30,12, 5,  1.2,14
D, 1,00, 9,  1.5, 6
D, 1,12, 5,  1.7, 5
D, 2,00,10,  1.1, 4
D, 2,12,10,  0.9, 7
D, 3,00,10,  0.7, 6
D, 3,12,10,  0.9, 6
D, 4,00, 7,  2.0, 4
D, 4,12, 7,  1.3, 4
D, 5,00, 9,  1.0, 5
D, 5,12,10,  0.9, 2
D, 6,00, 5,  1.4,10
D, 6,12,10,  1.3,14
D, 7,00,10,  1.1, 7
D, 7,12, 5,  1.9, 9
D, 8,00,12,  1.8, 7
D, 8,12,12,  1.4, 7
D, 9,00,11,  1.2, 7
D, 9,12,11,  1.3, 7
D,10,00,10,  1.3, 6
D,10,12,10,  1.2, 6
D,11,00, 9,  1.4, 6
D,11,12, 7,  2.3, 7
D,12,00, 5,  1.9,13
D,12,12, 5,  1.4, 1
D,13,00, 8,  1.1, 3
D,13,12, 5,  1.6, 7
D,14,00, 7,  2.3, 9
D,14,12, 9,  2.1, 9
D,15,00, 9,  1.5, 6
D,15,12, 5,  1.7,11
D,16,00,10,  1.2, 6
D,16,12,10,  1.3, 6
D,17,00, 5,  2.1,14
D,17,12, 9,  1.7, 1
D,18,00, 5,  1.7, 7
D,18,12, 8,  2.7, 9
D,19,00, 9,  2.5, 9
D,19,12, 9,  2.0, 9
D,20,00, 5,  2.4,13
D,20,12, 9,  1.7, 1
D,21,00, 5,  1.5,16
D,21,12, 4,  1.1,16
D,22,00, 7,  0.8, 2
D,22,12,13,  0.7, 4
D,23,00,13,  1.9, 6
D,23,12, 9,  2.7, 7
D,24,00,10,  3.1, 8
D,24,12,11,  3.2, 8
D,25,00,10,  2.6, 7
D,25,12,10,  2.7, 6
D,26,00, 9,  1.7, 3
D,26,12, 7,  1.7, 5
D,27,00,11,  1.8, 6
D,27,12,11,  1.9, 6
D,28,00,11,  2.4, 5
D,28,12, 8,  2.1, 3
D,29,00, 8,  1.6, 3
D,29,12,12,  1.6, 5
D,30,00,11,  1.7, 4
D,30,12, 8,  1.4, 3
E, 1,00,10,  1.3, 5
E, 1,12,10,  1.4, 5
E, 2,00, 7,  2.0, 4
E, 2,12, 7,  1.3, 5
E, 3,00,10,  1.1, 6
E, 3,12,10,  1.3, 6
E, 4,00,10,  1.9, 5
E, 4,12, 8,  1.8, 3
E, 5,00, 7,  1.0, 4
E, 5,12,10,  0.8, 5
E, 6,00,10,  1.1, 5
E, 6,12,10,  1.2, 6
E, 7,00,10,  1.5, 7
E, 7,12,11,  1.9, 7
E, 8,00,10,  2.3, 6
E, 8,12, 8,  2.1, 5
E, 9,00, 7,  1.9, 5
E, 9,12, 9,  2.0, 5
E,10,00, 9,  1.8, 5
E,10,12, 9,  1.5, 5
E,11,00, 9,  2.0, 6
E,11,12, 6,  1.7, 8
E,12,00, 7,  1.2,10
E,12,12, 6,  0.9, 4
E,13,00, 6,  1.2, 4
E,13,12, 6,  1.8, 8
E,14,00, 7,  2.7,10
E,14,12, 8,  1.9, 9
E,15,00, 8,  2.3, 4
E,15,12, 8,  1.6, 5
E,16,00, 8,  1.6, 5
E,16,12,10,  1.3, 5
E,17,00,10,  1.6, 5
E,17,12, 7,  1.7, 5
E,18,00, 6,  2.0, 7
E,18,12, 7,  2.8, 9
E,19,00, 9,  2.9, 9
E,19,12, 9,  2.0, 9
E,20,00, 8,  1.5, 4
E,20,12, 7,  1.8, 3
E,21,00,10,  1.3, 3
E,21,12, 6,  1.3, 4
E,22,00, 6,  1.3, 6
E,22,12, 9,  3.0, 8
E,23,00, 9,  4.1, 7
E,23,12,10,  5.1, 6
E,24,00,10,  4.9, 6
E,24,12,10,  2.7, 6
E,25,00,10,  2.6, 8
E,25,12,10,  3.2, 5
E,26,00, 9,  3.2, 4
E,26,12, 9,  3.1, 4
E,27,00,11,  2.0, 5
E,27,12,11,  2.1, 6
E,28,00, 9,  2.6, 5
E,28,12, 9,  3.4, 4
E,29,00, 9,  2.9, 4
E,29,12, 9,  2.0, 5
E,30,00, 8,  1.6, 4
E,30,12, 8,  1.3, 4
F, 1,00,10,  0.9, 6
F, 1,12,10,  1.3, 5
F, 2,00, 7,  1.5, 5
F, 2,12, 7,  1.4, 5
F, 3,00,10,  1.2, 6
F, 3,12,10,  1.1, 6
F, 4,00,10,  1.5, 5
F, 4,12,10,  1.2, 5
F, 5,00,10,  0.9, 5
F, 5,12,10,  0.6, 6
F, 6,00,10,  1.0, 6
F, 6,12,10,  1.1, 6
F, 7,00,10,  1.3, 7
F, 7,12,10,  1.7, 7
F, 8,00,11,  2.0, 6
F, 8,12,11,  1.8, 6
F, 9,00, 8,  1.7, 5
F, 9,12, 9,  1.9, 5
F,10,00, 9,  1.9, 5
F,10,12, 9,  1.4, 6
F,11,00, 9,  1.4, 6
F,11,12, 6,  1.5, 9
F,12,00, 8,  1.0, 9
F,12,12, 4,  1.0, 4
F,13,00, 4,  1.2, 5
F,13,12, 6,  1.3, 8
F,14,00, 7,  2.0,10
F,14,12, 7,  1.6,11
F,15,00, 8,  1.5, 4
F,15,12, 9,  1.2, 5
F,16,00, 8,  1.2, 6
F,16,12,10,  1.2, 7
F,17,00,10,  1.3, 5
F,17,12,10,  1.4, 6
F,18,00, 7,  1.8, 7
F,18,12, 6,  2.3, 9
F,19,00, 8,  2.3, 9
F,19,12, 8,  1.7,10
F,20,00, 8,  1.2, 9
F,20,12, 5,  1.6, 3
F,21,00, 5,  1.3, 4
F,21,12, 4,  1.1, 5
F,22,00, 7,  1.8, 6
F,22,12, 9,  3.1, 7
F,23,00, 9,  3.2, 6
F,23,12,10,  4.0, 6
F,24,00,11,  3.7, 6
F,24,12,11,  2.5, 6
F,25,00,10,  2.3, 7
F,25,12,10,  2.6, 6
F,26,00, 9,  2.3, 5
F,26,12, 9,  2.4, 5
F,27,00,11,  1.9, 6
F,27,12,11,  1.9, 6
F,28,00,11,  2.2, 5
F,28,12,11,  2.5, 5
F,29,00,10,  2.2, 5
F,29,12,11,  1.5, 6
F,30,00, 5,  1.6, 4
F,30,12,11,  0.8, 5
G, 1,00, 5,  1.2,12
G, 1,12, 6,  1.5,13
G, 2,00, 6,  1.9, 4
G, 2,12, 8,  1.3, 5
G, 3,00, 8,  1.0, 5
G, 3,12, 5,  1.1, 6
G, 4,00, 6,  1.6, 4
G, 4,12, 7,  1.0, 5
G, 5,00, 7,  1.2, 4
G, 5,12,10,  0.6, 5
G, 6,00,10,  1.0, 6
G, 6,12,10,  1.0, 6
G, 7,00,10,  1.0, 6
G, 7,12,10,  1.5, 7
G, 8,00,11,  1.7, 6
G, 8,12,11,  1.4, 6
G, 9,00, 6,  1.9, 5
G, 9,12, 9,  1.7, 5
G,10,00, 9,  1.6, 5
G,10,12, 9,  1.2, 5
G,11,00, 9,  1.2, 7
G,11,12, 6,  2.1,12
G,12,00, 7,  1.8,13
G,12,12, 6,  0.9,12
G,13,00, 6,  1.5, 4
G,13,12, 5,  1.2,10
G,14,00, 7,  2.5,12
G,14,12, 7,  2.5,13
G,15,00, 6,  1.6, 3
G,15,12, 9,  1.4, 3
G,16,00, 6,  1.5,15
G,16,12, 6,  2.0,13
G,17,00, 5,  1.4,15
G,17,12, 5,  1.5, 5
G,18,00, 6,  1.5, 7
G,18,12, 6,  2.3,10
G,19,00, 8,  2.9,12
G,19,12, 7,  2.9,13
G,20,00, 7,  2.1,13
G,20,12, 6,  1.6, 3
G,21,00, 6,  1.5, 4
G,21,12, 5,  1.3, 5
G,22,00, 7,  2.1, 6
G,22,12, 9,  3.3, 7
G,23,00,10,  3.0, 7
G,23,12,10,  3.5, 5
G,24,00,10,  2.9, 5
G,24,12,10,  1.9, 7
G,25,00,10,  1.9, 8
G,25,12,10,  2.4, 7
G,26,00, 9,  2.6, 5
G,26,12, 9,  2.7, 5
G,27,00, 9,  1.9, 5
G,27,12,11,  1.5, 6
G,28,00,11,  2.0, 5
G,28,12, 9,  2.4, 5
G,29,00, 9,  2.5, 5
G,29,12,10,  1.3, 5
G,30,00, 9,  1.3, 4
G,30,12,11,  0.9, 5
H, 1,00,10,  1.0, 5
H, 1,12, 5,  1.4,15
H, 2,00, 7,  1.5, 5
H, 2,12, 7,  1.2, 5
H, 3,00, 8,  1.1, 5
H, 3,12,10,  1.2, 5
H, 4,00, 5,  1.3,16
H, 4,12, 5,  1.6, 1
H, 5,00, 5,  1.2, 4
H, 5,12, 7,  0.7, 6
H, 6,00,10,  1.3, 5
H, 6,12,10,  1.2, 6
H, 7,00,10,  1.0, 6
H, 7,12,10,  1.5, 6
H, 8,00,10,  1.7, 6
H, 8,12,11,  1.5, 6
H, 9,00,10,  1.6, 6
H, 9,12, 8,  1.5, 6
H,10,00,10,  1.7, 5
H,10,12,10,  1.4, 6
H,11,00, 9,  1.3, 7
H,11,12, 5,  1.5,11
H,12,00, 5,  1.5,14
H,12,12, 5,  1.3,15
H,13,00, 6,  1.3, 5
H,13,12, 9,  1.0, 8
H,14,00, 6,  1.7,11
H,14,12, 6,  2.1,15
H,15,00, 5,  1.4,15
H,15,12, 5,  1.5, 1
H,16,00, 4,  1.3, 2
H,16,12, 4,  1.0, 1
H,17,00, 4,  1.2, 1
H,17,12,10,  1.1, 6
H,18,00, 9,  1.3, 7
H,18,12, 6,  2.4,10
H,19,00, 6,  2.3,13
H,19,12, 6,  2.4,14
H,20,00, 6,  1.9,15
H,20,12, 5,  1.6,15
H,21,00, 5,  1.3, 2
H,21,12, 7,  1.2, 6
H,22,00, 7,  2.1, 5
H,22,12, 9,  2.9, 7
H,23,00,10,  2.6, 7
H,23,12,10,  2.6, 6
H,24,00,10,  2.9, 6
H,24,12,10,  2.1, 6
H,25,00,10,  1.9, 7
H,25,12,10,  2.4, 7
H,26,00,10,  2.2, 6
H,26,12, 9,  2.6, 5
H,27,00,10,  2.3, 6
H,27,12,11,  1.9, 6
H,28,00,11,  2.0, 6
H,28,12,12,  2.0, 6
H,29,00,10,  2.1, 5
H,29,12,12,  1.6, 5
H,30,00, 5,  1.5, 4
H,30,12,11,  0.7, 6
I, 1,00,10,  0.7, 5
I, 1,12, 4,  0.7, 5
I, 2,00, 5,  1.1, 2
I, 2,12, 9,  0.4, 6
I, 3,00,10,  0.6, 6
I, 3,12,10,  0.6, 6
I, 4,00, 5,  1.3, 2
I, 4,12, 5,  1.4, 1
I, 5,00, 5,  1.0, 1
I, 5,12, 4,  0.7, 4
I, 6,00,10,  0.9, 5
I, 6,12,10,  0.8, 6
I, 7,00,10,  0.8, 6
I, 7,12,10,  1.3, 6
I, 8,00,12,  1.6, 6
I, 8,12,12,  1.3, 6
I, 9,00,11,  1.2, 6
I, 9,12,11,  1.1, 6
I,10,00,11,  1.2, 4
I,10,12,10,  0.9, 6
I,11,00, 5,  1.3, 9
I,11,12, 7,  1.0,11
I,12,00, 4,  0.8,16
I,12,12, 4,  0.7, 3
I,13,00, 9,  0.4, 7
I,13,12, 4,  0.9, 9
I,14,00, 6,  1.0,11
I,14,12, 5,  1.6, 1
I,15,00, 4,  0.9, 2
I,15,12, 4,  0.8, 5
I,16,00, 8,  0.7, 7
I,16,12,10,  0.7, 7
I,17,00,11,  1.1, 6
I,17,12,11,  0.9, 7
I,18,00, 5,  1.5, 8
I,18,12, 7,  2.3,10
I,19,00, 5,  1.9, 1
I,19,12, 5,  1.6, 1
I,20,00, 5,  1.5, 1
I,20,12, 5,  1.0, 1
I,21,00, 4,  0.8, 2
I,21,12, 4,  0.6, 3
I,22,00, 7,  1.1, 5
I,22,12, 9,  1.2, 6
I,23,00,10,  1.9, 7
I,23,12,10,  1.9, 7
I,24,00,10,  1.7, 7
I,24,12,10,  1.6, 7
I,25,00,10,  1.6, 7
I,25,12,10,  2.2, 5
I,26,00,10,  1.7, 5
I,26,12, 9,  1.3, 6
I,27,00,10,  1.6, 6
I,27,12,11,  1.5, 6
I,28,00,12,  2.2, 5
I,28,12,12,  2.1, 4
I,29,00,12,  1.8, 5
I,29,12,12,  1.0, 6
I,30,00,12,  1.2, 5
I,30,12,11,  0.6, 6
J, 1,00,10,  0.7, 6
J, 1,12,10,  0.7, 5
J, 2,00,11,  0.8, 5
J, 2,12,11,  0.8, 6
J, 3,00,10,  0.9, 5
J, 3,12,10,  0.9, 5
J, 4,00,10,  1.1, 5
J, 4,12, 4,  0.9, 5
J, 5,00,11,  0.7, 5
J, 5,12,10,  0.7, 6
J, 6,00,10,  0.9, 5
J, 6,12,10,  1.1, 5
J, 7,00,10,  1.0, 6
J, 7,12,10,  1.4, 6
J, 8,00,10,  1.6, 6
J, 8,12,11,  1.5, 6
J, 9,00,11,  1.3, 6
J, 9,12,11,  1.3, 5
J,10,00,10,  1.2, 5
J,10,12,10,  1.4, 5
J,11,00,10,  1.5, 7
J,11,12, 9,  0.9, 7
J,12,00, 9,  0.5, 5
J,12,12, 9,  0.4, 7
J,13,00, 9,  0.5, 6
J,13,12, 9,  0.9, 8
J,14,00, 4,  0.7,12
J,14,12, 4,  0.7, 1
J,15,00, 2,  0.4, 5
J,15,12,15,  0.6, 7
J,16,00, 8,  0.7, 7
J,16,12,10,  0.8, 6
J,17,00,11,  1.0, 6
J,17,12,11,  1.2, 7
J,18,00, 5,  1.5, 8
J,18,12, 7,  1.7,10
J,19,00, 7,  1.2, 7
J,19,12, 9,  0.9, 5
J,20,00, 9,  0.7, 6
J,20,12, 4,  0.6, 4
J,21,00, 4,  0.6, 3
J,21,12, 6,  0.7, 5
J,22,00, 7,  1.2, 5
J,22,12, 9,  1.2, 5
J,23,00,10,  2.1, 6
J,23,12,10,  2.2, 6
J,24,00,10,  2.2, 6
J,24,12,10,  2.0, 6
J,25,00,10,  1.9, 6
J,25,12,10,  1.9, 6
J,26,00,10,  1.6, 6
J,26,12,10,  1.8, 6
J,27,00,11,  2.1, 6
J,27,12,11,  1.9, 6
J,28,00,11,  1.9, 6
J,28,12,12,  2.0, 6
J,29,00,12,  1.7, 6
J,29,12,12,  1.4, 5
J,30,00,12,  1.3, 5
J,30,12,11,  0.9, 5
K, 1,00, 4,  0.7, 2
K, 1,12, 4,  0.7, 2
K, 2,00, 9,  0.5, 6
K, 2,12, 6,  0.6, 7
K, 3,00, 9,  0.5, 7
K, 3,12, 4,  0.8, 4
K, 4,00, 5,  1.1, 1
K, 4,12, 4,  0.9, 2
K, 5,00, 4,  0.6, 2
K, 5,12, 4,  0.7, 3
K, 6,00, 4,  0.7, 4
K, 6,12,10,  0.5, 6
K, 7,00,10,  0.5, 6
K, 7,12,10,  1.2, 5
K, 8,00,11,  1.1, 6
K, 8,12,12,  0.9, 6
K, 9,00,11,  0.8, 6
K, 9,12,11,  1.0, 4
K,10,00,11,  0.7, 5
K,10,12, 4,  1.1, 7
K,11,00,10,  0.9, 8
K,11,12, 5,  0.9,16
K,12,00, 4,  0.6, 1
K,12,12, 9,  0.4, 5
K,13,00, 2,  0.2, 7
K,13,12, 5,  0.7, 9
K,14,00, 5,  1.6,16
K,14,12, 5,  1.6,16
K,15,00, 4,  0.7, 1
K,15,12, 4,  0.6, 5
K,16,00, 8,  0.6, 7
K,16,12, 8,  0.6, 7
K,17,00,11,  0.7, 6
K,17,12,11,  0.9, 7
K,18,00, 6,  1.7, 9
K,18,12, 5,  1.6,10
K,19,00, 6,  2.2,16
K,19,12, 6,  1.8,16
K,20,00, 5,  1.5, 1
K,20,12, 4,  0.8, 2
K,21,00, 4,  0.5, 3
K,21,12, 6,  0.5, 7
K,22,00, 6,  0.6, 6
K,22,12, 8,  0.6, 7
K,23,00,10,  1.2, 6
K,23,12,10,  1.4, 7
K,24,00,10,  1.7, 7
K,24,12, 8,  1.8, 7
K,25,00,10,  1.6, 7
K,25,12,10,  1.3, 6
K,26,00,10,  1.2, 6
K,26,12,10,  1.2, 7
K,27,00,11,  1.1, 6
K,27,12,11,  1.2, 6
K,28,00,11,  1.4, 6
K,28,12,12,  1.4, 5
K,29,00,12,  1.1, 6
K,29,12,12,  0.9, 5
K,30,00,12,  0.8, 5
K,30,12,12,  0.4, 6
L, 1,00,10,  0.7, 5
L, 1,12,10,  0.8, 5
L, 2,00,10,  1.2, 5
L, 2,12,10,  1.3, 5
L, 3,00,10,  1.1, 5
L, 3,12,10,  1.1, 5
L, 4,00,10,  1.4, 4
L, 4,12, 7,  1.7, 3
L, 5,00, 7,  1.6, 4
L, 5,12, 7,  1.3, 4
L, 6,00,10,  1.3, 4
L, 6,12,10,  1.3, 5
L, 7,00,10,  1.2, 5
L, 7,12, 9,  1.6, 5
L, 8,00,10,  1.6, 5
L, 8,12,10,  1.3, 5
L, 9,00,11,  1.6, 5
L, 9,12,11,  1.6, 5
L,10,00, 7,  1.6, 4
L,10,12,10,  1.5, 4
L,11,00,10,  1.6, 5
L,11,12, 5,  1.4,15
L,12,00, 5,  0.7, 2
L,12,12, 9,  0.6, 5
L,13,00, 9,  0.6, 5
L,13,12, 9,  0.7, 6
L,14,00, 5,  1.4,15
L,14,12, 7,  1.6, 2
L,15,00, 7,  1.7, 3
L,15,12, 7,  1.1, 4
L,16,00, 7,  0.9, 5
L,16,12, 9,  0.9, 5
L,17,00,11,  1.2, 5
L,17,12,11,  1.5, 6
L,18,00, 6,  1.7, 8
L,18,12, 7,  1.3, 7
L,19,00, 5,  1.6, 3
L,19,12, 7,  1.7, 2
L,20,00, 7,  2.0, 3
L,20,12, 7,  1.8, 3
L,21,00, 6,  1.5, 4
L,21,12, 7,  2.0, 5
L,22,00, 7,  1.9, 5
L,22,12, 7,  2.0, 5
L,23,00, 9,  2.6, 5
L,23,12,10,  2.9, 5
L,24,00, 9,  2.8, 6
L,24,12,10,  2.5, 6
L,25,00,11,  2.2, 5
L,25,12,10,  1.8, 5
L,26,00,10,  2.0, 5
L,26,12, 9,  2.4, 5
L,27,00,11,  2.2, 5
L,27,12,11,  2.3, 5
L,28,00,10,  2.9, 5
L,28,12, 8,  3.2, 4
L,29,00, 9,  3.3, 4
L,29,12, 9,  2.2, 4
L,30,00,11,  2.2, 4
L,30,12,10,  1.8, 5
M, 1,00,10,  1.1, 5
M, 1,12,10,  1.1, 5
M, 2,00,10,  1.4, 5
M, 2,12,10,  1.3, 5
M, 3,00,10,  1.3, 5
M, 3,12,10,  1.4, 5
M, 4,00, 6,  1.5, 4
M, 4,12, 6,  1.4, 4
M, 5,00, 7,  1.4, 4
M, 5,12, 7,  1.3, 4
M, 6,00, 7,  1.4, 4
M, 6,12, 7,  1.8, 5
M, 7,00, 7,  1.5, 5
M, 7,12,10,  1.8, 5
M, 8,00,10,  1.7, 5
M, 8,12,10,  1.4, 5
M, 9,00,11,  1.3, 5
M, 9,12,11,  1.4, 4
M,10,00,10,  1.4, 4
M,10,12, 8,  1.4, 5
M,11,00,10,  1.2, 5
M,11,12,10,  1.0, 4
M,12,00, 9,  1.0, 3
M,12,12, 9,  0.8, 4
M,13,00, 9,  0.7, 5
M,13,12, 9,  0.7, 5
M,14,00, 5,  1.1, 3
M,14,12, 8,  2.2, 2
M,15,00, 7,  1.5, 2
M,15,12, 7,  1.3, 4
M,16,00, 7,  1.5, 5
M,16,12, 7,  1.4, 5
M,17,00, 8,  1.8, 5
M,17,12, 8,  1.9, 6
M,18,00, 7,  2.1, 7
M,18,12, 8,  1.6, 7
M,19,00, 8,  2.3, 2
M,19,12, 8,  2.3, 2
M,20,00, 8,  2.1, 2
M,20,12, 9,  2.3, 4
M,21,00, 7,  2.2, 4
M,21,12, 8,  2.7, 5
M,22,00, 9,  3.5, 6
M,22,12, 9,  3.4, 4
M,23,00, 9,  2.9, 5
M,23,12, 9,  2.9, 5
M,24,00,10,  2.5, 5
M,24,12,10,  1.9, 6
M,25,00,11,  1.7, 5
M,25,12,11,  2.1, 3
M,26,00,10,  1.9, 4
M,26,12,11,  1.7, 5
M,27,00,11,  1.8, 5
M,27,12,11,  1.8, 5
M,28,00,11,  2.1, 5
M,28,12,12,  2.4, 4
M,29,00, 9,  3.5, 4
M,29,12,10,  2.8, 4
M,30,00,10,  2.5, 5
M,30,12,10,  2.5, 5
N, 1,00, 7,  1.7, 5
N, 1,12, 7,  1.6, 5
N, 2,00, 8,  1.6, 5
N, 2,12, 8,  1.7, 5
N, 3,00, 8,  1.4, 5
N, 3,12, 9,  1.5, 5
N, 4,00, 7,  2.1, 4
N, 4,12, 8,  2.0, 4
N, 5,00, 7,  2.2, 4
N, 5,12, 7,  1.8, 4
N, 6,00, 8,  1.6, 4
N, 6,12, 8,  2.0, 5
N, 7,00, 9,  2.0, 5
N, 7,12, 9,  1.9, 5
N, 8,00, 9,  1.9, 5
N, 8,12, 9,  1.9, 4
N, 9,00,10,  1.5, 4
N, 9,12, 9,  1.4, 4
N,10,00,10,  1.5, 5
N,10,12, 9,  1.4, 4
N,11,00, 9,  1.3, 4
N,11,12,10,  1.1, 4
N,12,00,10,  1.0, 4
N,12,12, 9,  0.9, 4
N,13,00, 6,  1.1, 5
N,13,12, 7,  0.9, 5
N,14,00, 8,  1.1, 5
N,14,12, 7,  2.1, 3
N,15,00, 9,  1.9, 4
N,15,12, 7,  1.5, 4
N,16,00, 8,  1.9, 5
N,16,12, 8,  1.8, 5
N,17,00, 7,  2.0, 5
N,17,12, 9,  2.0, 5
N,18,00, 7,  2.4, 6
N,18,12, 8,  1.6, 6
N,19,00, 7,  2.1, 4
N,19,12, 8,  2.4, 4
N,20,00, 8,  2.5, 4
N,20,12, 8,  2.4, 4
N,21,00, 9,  3.0, 5
N,21,12, 9,  3.3, 5
N,22,00, 9,  3.7, 6
N,22,12, 9,  2.7, 8
N,23,00, 9,  2.6, 6
N,23,12, 9,  2.2, 5
N,24,00,10,  2.2, 5
N,24,12,10,  1.6, 5
N,25,00,10,  1.6, 5
N,25,12,11,  1.9, 4
N,26,00,11,  2.1, 4
