ínì_,ì˙,éû,é¸ä˙(s),îgçÇ(m),îgå¸(16ï˚à )
A, 1,00, 4,  0.4,13
A, 1,12, 7,  1.9,15
A, 2,00, 7,  1.3,15
A, 2,12, 9,  1.8,15
A, 3,00, 7,  2.1,15
A, 3,12, 7,  1.2,15
A, 4,00, 6,  1.0,16
A, 4,12, 5,  1.0, 1
A, 5,00, 6,  1.3,16
A, 5,12, 6,  0.7,16
A, 6,00, 6,  1.7,14
A, 6,12, 7,  1.9,15
A, 7,00, 7,  0.8,14
A, 7,12, 5,  1.4,15
A, 8,00, 8,  2.3,15
A, 8,12, 6,  1.2,16
A, 9,00, 7,  1.2,16
A, 9,12, 6,  1.3,15
A,10,00, 7,  1.2,15
A,10,12, 7,  1.9,16
A,11,00,10,  1.2, 1
A,11,12,10,  0.9, 2
A,12,00, 4,  0.4,15
A,12,12, 6,  1.5,15
A,13,00, 7,  1.4,16
A,13,12, 4,  1.3, 2
A,14,00, 5,  1.2, 9
A,14,12, 9,  3.0,14
A,15,00, 9,  3.3,15
A,15,12, 9,  2.6,15
A,16,00, 8,  2.6,15
A,16,12, 9,  2.3,15
A,17,00, 8,  3.4,15
A,17,12, 9,  3.8,16
A,18,00, 9,  1.8, 1
A,18,12,10,  2.0, 4
A,19,00, 7,  1.9,16
A,19,12, 8,  2.3,15
A,20,00, 9,  3.8,15
A,20,12, 9,  4.4,16
A,21,00,11,  2.9, 1
A,21,12,11,  2.3, 1
A,22,00,11,  2.3, 1
A,22,12,10,  1.4, 1
A,23,00, 9,  1.2, 2
A,23,12, 4,  1.0, 8
A,24,00, 4,  0.5,10
A,24,12, 2,  0.2,14
A,25,00, 7,  1.6,16
A,25,12, 7,  2.1,15
A,26,00, 7,  1.5,16
A,26,12, 6,  1.1,16
A,27,00, 4,  0.7,11
A,27,12, 5,  1.1,15
A,28,00, 7,  2.2,15
A,28,12, 7,  2.4,16
A,29,00, 7,  1.7,16
A,29,12, 6,  1.6,16
A,30,00, 6,  1.4,16
A,30,12, 6,  1.4,15
B, 1,00, 7,  1.8, 9
B, 1,12, 7,  1.6,10
B, 2,00, 5,  1.1,11
B, 2,12, 6,  1.1,11
B, 3,00, 7,  1.2,10
B, 3,12, 4,  0.7,12
B, 4,00, 9,  0.9, 6
B, 4,12, 9,  0.9, 7
B, 5,00, 9,  0.9, 6
B, 5,12, 9,  0.9, 8
B, 6,00, 7,  2.0,11
B, 6,12, 7,  1.4,12
B, 7,00, 7,  0.6,11
B, 7,12, 8,  2.3, 9
B, 8,00, 8,  1.5, 9
B, 8,12,12,  1.2, 9
B, 9,00,12,  0.8, 9
B, 9,12,11,  1.1,10
B,10,00, 4,  0.7,11
B,10,12, 9,  0.8, 7
B,11,00,10,  0.7, 7
B,11,12, 7,  1.9, 8
B,12,00, 9,  2.5, 8
B,12,12, 9,  1.7, 6
B,13,00, 9,  1.1, 6
B,13,12, 9,  1.5, 5
B,14,00, 8,  2.9, 9
B,14,12, 9,  2.8,10
B,15,00, 9,  2.4,10
B,15,12, 9,  2.2,10
B,16,00, 9,  2.5,10
B,16,12, 8,  2.3,11
B,17,00, 9,  2.4,11
B,17,12, 5,  1.6,12
B,18,00,12,  0.5, 9
B,18,12, 8,  3.3, 9
B,19,00, 9,  2.2, 9
B,19,12, 9,  2.2,10
B,20,00,10,  3.4,10
B,20,12,10,  2.0,10
B,21,00, 4,  1.0,11
B,21,12, 4,  0.9,13
B,22,00, 4,  0.6,13
B,22,12, 2,  0.3, 5
B,23,00,12,  0.4, 5
B,23,12, 6,  1.4, 9
B,24,00, 9,  1.6, 9
B,24,12, 9,  1.9, 9
B,25,00,11,  2.6, 9
B,25,12,11,  2.4, 8
B,26,00,10,  1.3, 8
B,26,12,10,  1.3, 7
B,27,00,10,  1.4, 8
B,27,12,11,  1.9, 8
B,28,00,11,  1.7, 8
B,28,12,11,  1.3, 7
B,29,00,11,  0.8, 7
B,29,12,11,  0.9, 7
B,30,00,11,  1.2, 7
B,30,12,11,  1.2, 7
C, 1,00, 5,  1.6,11
C, 1,12, 6,  2.1,14
C, 2,00, 5,  1.6,13
C, 2,12, 5,  1.4,12
C, 3,00, 6,  1.3,15
C, 3,12, 5,  1.0,15
C, 4,00,10,  1.0, 4
