ínì_,ì˙,éû,é¸ä˙(s),îgçÇ(m),îgå¸(16ï˚à )
A, 1,00,-9, -9.0,-9
A, 1,12,-9, -9.0,-9
A, 2,00,-9, -9.0,-9
A, 2,12,-9, -9.0,-9
A, 3,00,-9, -9.0,-9
A, 3,12,-9, -9.0,-9
A, 4,00,-9, -9.0,-9
A, 4,12,-9, -9.0,-9
A, 5,00,-9, -9.0,-9
A, 5,12,-9, -9.0,-9
A, 6,00,-9, -9.0,-9
A, 6,12,-9, -9.0,-9
A, 7,00,-9, -9.0,-9
A, 7,12,-9, -9.0,-9
A, 8,00,-9, -9.0,-9
A, 8,12,-9, -9.0,-9
A, 9,00,-9, -9.0,-9
A, 9,12,-9, -9.0,-9
A,10,00,-9, -9.0,-9
A,10,12,-9, -9.0,-9
A,11,00,-9, -9.0,-9
A,11,12,-9, -9.0,-9
A,12,00,-9, -9.0,-9
A,12,12,-9, -9.0,-9
A,13,00,-9, -9.0,-9
A,13,12,-9, -9.0,-9
A,14,00,-9, -9.0,-9
A,14,12,-9, -9.0,-9
A,15,00,-9, -9.0,-9
A,15,12,-9, -9.0,-9
A,16,00,-9, -9.0,-9
A,16,12,-9, -9.0,-9
A,17,00,-9, -9.0,-9
A,17,12,-9, -9.0,-9
A,18,00,-9, -9.0,-9
A,18,12,-9, -9.0,-9
A,19,00,-9, -9.0,-9
A,19,12,-9, -9.0,-9
A,20,00,-9, -9.0,-9
A,20,12,-9, -9.0,-9
A,21,00,-9, -9.0,-9
A,21,12,-9, -9.0,-9
A,22,00,-9, -9.0,-9
A,22,12,-9, -9.0,-9
A,23,00,-9, -9.0,-9
A,23,12,-9, -9.0,-9
A,24,00,-9, -9.0,-9
A,24,12,-9, -9.0,-9
A,25,00,-9, -9.0,-9
A,25,12,-9, -9.0,-9
A,26,00,-9, -9.0,-9
A,26,12,-9, -9.0,-9
A,27,00,-9, -9.0,-9
A,27,12,-9, -9.0,-9
A,28,00,-9, -9.0,-9
A,28,12,-9, -9.0,-9
B, 1,00, 5,  1.5,13
B, 1,12, 9,  2.4,12
B, 2,00,11,  2.3,10
B, 2,12,10,  2.0,10
B, 3,00, 4,  0.9,11
B, 3,12, 9,  0.8, 9
B, 4,00, 7,  2.3, 8
B, 4,12, 9,  3.5,11
B, 5,00,11,  2.8,10
