ínì_,ì˙,éû,é¸ä˙(s),îgçÇ(m),îgå¸(16ï˚à )
A, 1,00,13,  3.9, 1
A, 1,12,13,  3.3, 1
A, 2,00,12,  2.9, 2
A, 2,12,13,  2.7, 1
A, 3,00,12,  1.9, 2
A, 3,12,11,  1.7, 2
A, 4,00,10,  1.8, 1
A, 4,12, 6,  1.4,15
A, 5,00, 6,  1.2,15
A, 5,12, 6,  1.0,15
A, 6,00, 6,  1.0,15
A, 6,12, 6,  0.6,16
A, 7,00, 7,  0.3,15
A, 7,12, 5,  1.2, 4
A, 8,00, 7,  2.7, 2
A, 8,12, 9,  3.4, 2
A, 9,00, 9,  1.7, 2
A, 9,12, 9,  1.6, 2
A,10,00, 8,  1.8, 1
A,10,12, 5,  2.0,16
A,11,00, 6,  1.6,16
A,11,12, 6,  1.3,16
A,12,00, 7,  0.9,15
A,12,12, 2,  0.4, 3
A,13,00, 4,  0.6, 6
A,13,12, 5,  0.9,13
A,14,00, 4,  0.8, 8
A,14,12, 7,  3.5,14
A,15,00, 7,  2.4,16
A,15,12, 7,  1.0, 1
A,16,00, 5,  1.6, 6
A,16,12, 7,  3.5,16
A,17,00, 9,  2.5, 1
A,17,12, 9,  1.6, 2
A,18,00, 9,  1.4, 2
A,18,12, 9,  1.5, 1
A,19,00, 9,  1.4, 1
A,19,12,-9, -9.0,-9
A,20,00,-9, -9.0,-9
A,20,12,-9, -9.0,-9
A,21,00,-9, -9.0,-9
A,21,12,-9, -9.0,-9
A,22,00,-9, -9.0,-9
A,22,12,-9, -9.0,-9
A,23,00,-9, -9.0,-9
A,23,12,-9, -9.0,-9
A,24,00,-9, -9.0,-9
A,24,12,-9, -9.0,-9
A,25,00,-9, -9.0,-9
A,25,12,-9, -9.0,-9
A,26,00,-9, -9.0,-9
A,26,12,-9, -9.0,-9
A,27,00,-9, -9.0,-9
A,27,12,-9, -9.0,-9
A,28,00,-9, -9.0,-9
A,28,12,-9, -9.0,-9
A,29,00,-9, -9.0,-9
A,29,12,-9, -9.0,-9
A,30,00,-9, -9.0,-9
A,30,12,-9, -9.0,-9
A,31,00,-9, -9.0,-9
A,31,12,-9, -9.0,-9
B, 1,00,10,  2.0,10
B, 1,12, 5,  1.3,11
B, 2,00, 7,  0.9,11
B, 2,12, 4,  1.2,13
B, 3,00, 4,  0.6,11
B, 3,12, 6,  0.9,11
B, 4,00, 4,  1.1,12
B, 4,12, 4,  1.0,12
B, 5,00, 4,  1.0,12
B, 5,12, 4,  0.6,12
B, 6,00, 9,  0.4, 9
