ínì_,ì˙,éû,é¸ä˙(s),îgçÇ(m),îgå¸(16ï˚à )
C,31,12, 9,  1.2, 7
D, 1,00,10,  0.9, 7
D, 1,12,10,  1.1, 8
D, 2,00,10,  0.9, 7
D, 2,12,10,  0.9, 7
D, 3,00, 9,  0.9, 7
D, 3,12, 9,  0.7, 7
D, 4,00, 9,  0.8, 7
D, 4,12, 9,  1.4, 7
D, 5,00, 9,  1.6, 7
D, 5,12,11,  2.1, 8
D, 6,00,10,  1.6, 8
D, 6,12, 9,  1.2, 8
D, 7,00,10,  1.3, 7
D, 7,12,10,  1.2, 7
D, 8,00,10,  1.2, 8
D, 8,12,10,  1.6, 8
D, 9,00,11,  1.9, 8
D, 9,12,12,  2.2, 9
D,10,00,12,  2.3, 8
D,10,12,12,  2.1, 8
D,11,00,13,  2.6, 8
D,11,12,11,  2.5, 8
D,12,00,11,  2.5, 8
D,12,12,11,  2.6, 8
D,13,00,12,  2.5, 8
D,13,12,13,  2.8, 8
D,14,00,11,  2.2, 9
D,14,12,11,  2.4, 8
D,15,00,11,  2.5, 9
D,15,12,10,  2.3, 9
D,16,00, 8,  2.7, 9
D,16,12, 9,  2.5, 9
D,17,00, 9,  1.8, 9
D,17,12, 9,  1.4, 9
D,18,00, 9,  1.1, 9
D,18,12, 9,  1.2, 7
D,19,00,11,  1.1, 5
D,19,12,10,  1.2, 5
D,20,00,10,  1.4, 5
D,20,12, 9,  1.5, 5
D,21,00, 9,  1.3, 5
D,21,12, 9,  1.4, 4
D,22,00, 9,  1.3, 4
D,22,12, 9,  1.5, 5
D,23,00, 8,  1.5, 5
D,23,12,10,  1.8, 5
D,24,00,10,  1.9, 4
D,24,12,11,  1.6, 4
D,25,00,10,  1.4, 5
D,25,12,10,  1.3, 5
D,26,00,10,  1.1, 5
D,26,12, 9,  1.2, 5
D,27,00, 9,  0.9, 6
D,27,12, 9,  1.2, 6
D,28,00, 9,  1.4, 7
D,28,12, 8,  1.6, 7
D,29,00, 9,  1.6, 9
D,29,12, 8,  1.1, 8
D,30,00, 7,  1.0, 7
D,30,12, 8,  1.1, 5
D,31,00, 8,  1.2, 6
D,31,12, 8,  1.1, 6
E, 1,00,10,  1.0, 7
E, 1,12,10,  1.1, 7
E, 2,00,10,  1.0, 7
E, 2,12, 9,  0.9, 7
E, 3,00, 9,  0.9, 6
E, 3,12, 9,  0.8, 6
E, 4,00, 9,  0.9, 6
E, 4,12, 9,  1.8, 6
E, 5,00,11,  2.1, 7
E, 5,12,10,  2.3, 8
E, 6,00, 9,  1.6, 8
E, 6,12, 9,  1.3, 8
E, 7,00,10,  1.5, 8
E, 7,12,10,  1.7, 8
E, 8,00,10,  1.8, 8
E, 8,12,11,  2.3, 8
E, 9,00,12,  2.6, 9
E, 9,12,12,  2.5, 9
E,10,00,12,  2.3, 9
E,10,12,12,  2.5, 8
E,11,00,12,  2.9, 8
E,11,12,12,  2.7, 8
E,12,00,11,  2.7, 8
E,12,12,12,  3.0, 8
E,13,00,11,  2.9, 8
E,13,12,11,  3.3, 8
E,14,00,11,  2.6, 9
E,14,12,11,  2.9, 9
E,15,00,11,  3.2, 9
E,15,12,12,  3.4, 9
E,16,00, 9,  3.2, 9
E,16,12, 9,  2.8, 9
E,17,00, 8,  2.3,10
E,17,12, 9,  1.8, 9
