ínì_,ì˙,éû,é¸ä˙(s),îgçÇ(m),îgå¸(16ï˚à )
A, 1,00, 6,  0.4, 1
A, 1,12, 6,  0.3, 2
A, 2,00, 4,  0.5, 5
A, 2,12, 4,  0.7, 9
A, 3,00, 2,  0.2,10
A, 3,12, 4,  0.5, 8
A, 4,00, 4,  0.6, 9
A, 4,12, 2,  0.4, 2
A, 5,00, 7,  0.4, 1
A, 5,12, 7,  0.5, 2
A, 6,00, 7,  0.6, 1
A, 6,12, 7,  0.9, 2
A, 7,00, 5,  1.4, 6
A, 7,12, 5,  1.5,13
A, 8,00, 8,  2.7,16
A, 8,12, 9,  1.8, 1
A, 9,00, 9,  1.2, 2
A, 9,12, 9,  0.9, 2
A,10,00, 9,  0.7, 2
A,10,12, 8,  0.8, 4
A,11,00, 2,  0.2, 1
A,11,12, 5,  0.9,10
A,12,00, 6,  0.8,15
A,12,12, 5,  0.7,15
A,13,00, 5,  0.4,15
A,13,12, 6,  1.1, 1
A,14,00, 7,  0.9, 2
A,14,12, 4,  0.9, 4
A,15,00, 4,  0.7, 7
A,15,12, 4,  0.6, 7
A,16,00, 9,  0.3, 3
A,16,12, 9,  0.4, 2
A,17,00, 6,  0.3, 2
A,17,12, 9,  0.2, 3
A,18,00, 9,  0.5, 2
A,18,12, 9,  0.4, 3
A,19,00, 4,  0.5, 8
A,19,12, 5,  0.4,16
A,20,00, 6,  0.5,16
A,20,12, 5,  0.6,16
A,21,00, 5,  0.3,16
A,21,12, 2,  0.2, 2
A,22,00, 2,  0.2,16
A,22,12, 4,  0.5, 6
A,23,00, 2,  0.2, 1
A,23,12, 2,  0.4, 2
A,24,00, 2,  0.2,15
A,24,12, 4,  0.5, 6
A,25,00, 4,  0.3, 8
A,25,12, 4,  0.4, 8
A,26,00, 2,  0.2, 3
A,26,12, 2,  0.2, 1
A,27,00, 2,  0.2, 1
A,27,12, 2,  0.2, 3
A,28,00, 2,  0.2, 1
A,28,12, 9,  0.5, 1
A,29,00, 5,  1.4, 1
A,29,12, 7,  2.1, 3
A,30,00, 7,  1.3, 3
A,30,12, 7,  0.9, 3
A,31,00, 7,  1.0, 3
A,31,12, 8,  1.0, 3
B, 1,00,10,  0.7, 7
B, 1,12, 9,  0.8, 8
B, 2,00, 9,  1.1, 8
B, 2,12, 9,  1.2, 8
B, 3,00, 9,  1.0, 8
B, 3,12, 7,  1.1, 8
B, 4,00, 6,  1.5, 8
B, 4,12, 6,  1.2, 9
B, 5,00, 6,  1.2, 9
B, 5,12, 5,  1.0,10
B, 6,00, 6,  0.8, 9
B, 6,12, 6,  0.7, 8
B, 7,00, 7,  2.2, 9
B, 7,12, 8,  2.4,10
B, 8,00, 7,  0.7,10
B, 8,12, 7,  0.9, 8
B, 9,00, 7,  1.0, 8
B, 9,12, 6,  1.3, 7
B,10,00, 7,  1.1, 8
B,10,12, 8,  1.1, 9
B,11,00, 8,  0.9, 9
B,11,12, 5,  1.3,10
B,12,00, 5,  0.7,11
B,12,12, 6,  0.7,11
B,13,00, 5,  0.9,11
B,13,12, 4,  0.8,10
B,14,00, 9,  0.3, 7
B,14,12, 4,  0.7, 8
B,15,00, 6,  1.8, 7
B,15,12, 7,  1.3, 7
B,16,00, 7,  1.0, 7
B,16,12, 6,  0.9, 7
B,17,00, 7,  0.8, 6
B,17,12, 7,  0.7, 7
B,18,00, 8,  0.7, 6
B,18,12, 9,  0.7, 6
B,19,00, 5,  1.0, 9
B,19,12, 5,  0.9,10
B,20,00, 5,  0.8,10
B,20,12, 4,  0.8, 6
B,21,00, 9,  0.7, 6
B,21,12, 9,  0.7, 6
B,22,00, 9,  0.5, 6
B,22,12, 9,  0.6, 7
B,23,00, 9,  0.7, 6
B,23,12, 9,  0.6, 6
B,24,00, 9,  0.8, 6
B,24,12, 5,  0.8, 6
B,25,00, 9,  0.7, 6
B,25,12, 8,  0.9, 7
B,26,00, 8,  0.9, 7
B,26,12, 8,  0.9, 8
B,27,00, 7,  0.7, 7
B,27,12, 7,  0.7, 7
B,28,00, 7,  0.8, 7
B,28,12, 9,  0.8, 7
B,29,00, 7,  0.7, 8
B,29,12, 7,  1.7, 5
B,30,00, 7,  2.2, 5
B,30,12, 8,  2.6, 5
B,31,00, 8,  2.5, 6
B,31,12, 9,  2.2, 6
C, 1,00,10,  0.8, 6
C, 1,12, 9,  0.9, 7
C, 2,00, 9,  1.2, 7
C, 2,12, 9,  1.3, 7
C, 3,00, 9,  1.3, 7
C, 3,12, 7,  1.2, 7
C, 4,00, 8,  1.0, 7
C, 4,12,10,  0.9, 7
C, 5,00, 9,  1.0, 8
C, 5,12, 8,  0.7, 8
C, 6,00, 4,  0.9, 8
C, 6,12, 9,  0.9, 7
C, 7,00, 7,  1.7, 8
C, 7,12, 6,  1.8,13
C, 8,00, 7,  0.9, 8
C, 8,12, 8,  0.9, 7
C, 9,00, 7,  1.6, 7
C, 9,12, 7,  1.5, 6
C,10,00, 7,  0.9, 7
C,10,12, 9,  0.9, 7
C,11,00, 9,  0.7, 7
C,11,12, 6,  1.2,12
C,12,00, 5,  1.1,12
C,12,12, 5,  0.9,11
C,13,00, 5,  1.1,12
C,13,12, 4,  0.8,13
C,14,00, 8,  0.5, 7
C,14,12, 5,  1.5, 7
C,15,00, 7,  1.5, 6
C,15,12, 7,  1.1, 7
C,16,00, 7,  0.9, 8
C,16,12, 7,  0.7, 7
C,17,00,10,  0.8, 8
C,17,12,10,  0.6, 7
C,18,00,10,  0.6, 6
C,18,12,10,  0.5, 6
C,19,00,10,  0.7, 7
C,19,12, 5,  0.8,10
C,20,00, 9,  0.8, 9
C,20,12, 9,  0.5, 7
C,21,00, 9,  1.0, 6
C,21,12, 9,  0.9, 6
C,22,00, 9,  0.6, 6
C,22,12, 9,  0.6, 7
C,23,00, 9,  0.9, 6
C,23,12, 9,  0.6, 6
C,24,00, 9,  0.8, 6
C,24,12, 5,  1.0, 6
C,25,00, 6,  1.2, 6
C,25,12, 6,  1.1, 7
C,26,00, 8,  0.9, 7
C,26,12, 8,  0.8, 7
C,27,00, 7,  0.8, 7
C,27,12, 8,  0.7, 7
C,28,00, 8,  0.8, 7
C,28,12,10,  0.6, 7
C,29,00, 9,  0.7, 7
C,29,12, 6,  2.2, 6
C,30,00, 9,  3.8, 6
C,30,12, 9,  4.0, 5
C,31,00, 9,  3.7, 6
C,31,12, 9,  3.2, 6
D, 1,00, 9,  1.2, 6
D, 1,12, 8,  1.3, 6
D, 2,00, 8,  1.2, 6
D, 2,12, 9,  1.3, 6
D, 3,00, 9,  1.1, 6
D, 3,12, 9,  1.1, 6
D, 4,00,10,  1.2, 6
D, 4,12,10,  1.2, 6
D, 5,00,10,  1.2, 6
D, 5,12,10,  1.0, 6
D, 6,00,10,  1.0, 7
D, 6,12, 5,  1.4, 8
D, 7,00, 6,  1.8, 8
D, 7,12,10,  1.2, 7
D, 8,00, 9,  1.2, 7
D, 8,12, 7,  1.2, 7
D, 9,00, 9,  1.0, 7
D, 9,12, 7,  1.3, 8
D,10,00, 7,  1.1, 8
D,10,12, 9,  1.2, 8
D,11,00, 9,  1.0, 8
D,11,12, 7,  0.8, 9
D,12,00, 7,  1.0, 9
D,12,12, 8,  0.9, 9
D,13,00, 8,  0.8, 9
D,13,12, 8,  0.8, 9
D,14,00, 7,  0.7, 7
D,14,12, 4,  0.9, 7
D,15,00, 6,  1.1, 8
D,15,12, 5,  0.9, 8
D,16,00,10,  0.8, 6
D,16,12, 9,  0.9, 5
D,17,00,10,  0.8, 5
D,17,12, 9,  0.8, 5
D,18,00,10,  0.9, 5
D,18,12,10,  0.8, 5
D,19,00, 9,  0.8, 5
D,19,12, 9,  0.8, 7
D,20,00, 9,  1.0, 7
D,20,12, 9,  1.0, 7
D,21,00, 9,  1.0, 6
D,21,12, 9,  0.9, 6
D,22,00, 9,  0.9, 5
D,22,12, 9,  0.8, 5
D,23,00, 9,  0.8, 5
D,23,12, 9,  0.8, 6
D,24,00, 9,  0.8, 6
D,24,12, 9,  0.9, 6
D,25,00, 8,  1.1, 5
D,25,12, 7,  1.0, 6
D,26,00, 7,  1.0, 6
D,26,12, 7,  1.0, 7
D,27,00, 8,  0.9, 7
D,27,12, 7,  1.1, 7
D,28,00, 7,  1.2, 8
D,28,12, 7,  1.3, 8
D,29,00, 7,  1.1, 8
D,29,12,10,  1.0, 7
D,30,00, 7,  1.3, 4
D,30,12, 9,  1.8, 3
D,31,00, 9,  3.0, 3
D,31,12, 9,  3.4, 4
E, 1,00, 9,  1.4, 5
E, 1,12, 8,  2.5, 4
E, 2,00, 8,  1.7, 4
E, 2,12, 8,  1.5, 5
E, 3,00, 8,  1.1, 5
E, 3,12, 9,  1.1, 5
E, 4,00,10,  1.0, 5
E, 4,12,10,  1.1, 5
E, 5,00,10,  1.2, 5
E, 5,12,10,  1.0, 6
E, 6,00,10,  1.0, 6
E, 6,12,10,  1.2, 6
E, 7,00,10,  1.3, 7
E, 7,12, 7,  1.7, 9
E, 8,00, 7,  1.5, 9
E, 8,12, 7,  1.3, 9
E, 9,00, 7,  1.4, 9
E, 9,12, 7,  1.7,10
E,10,00, 7,  1.2, 9
E,10,12, 9,  1.2, 8
E,11,00, 6,  1.5, 9
E,11,12, 6,  1.7,10
E,12,00, 7,  1.8,10
E,12,12, 9,  1.5, 9
E,13,00, 7,  1.2, 9
E,13,12, 8,  0.8, 9
E,14,00, 7,  0.7, 9
E,14,12, 8,  0.7, 8
E,15,00,10,  0.9, 7
E,15,12,10,  0.8, 7
E,16,00,10,  0.8, 7
E,16,12,10,  1.0, 5
E,17,00,10,  0.8, 5
E,17,12,10,  0.8, 5
E,18,00,10,  1.0, 5
E,18,12,10,  1.1, 5
E,19,00, 9,  1.0, 5
E,19,12, 9,  0.8, 5
E,20,00, 9,  0.8, 5
E,20,12, 9,  0.8, 5
E,21,00, 9,  0.8, 5
E,21,12, 9,  0.9, 5
