ínì_,ì˙,éû,é¸ä˙(s),îgçÇ(m),îgå¸(16ï˚à )
A, 1,00, 7,  1.9,15
A, 1,12, 7,  2.3,15
A, 2,00, 6,  1.9,16
A, 2,12, 7,  1.8,16
A, 3,00, 7,  1.2,15
A, 3,12, 6,  1.5,15
A, 4,00, 7,  2.0,15
A, 4,12, 7,  1.4,15
A, 5,00, 4,  0.8,14
A, 5,12, 5,  1.2,14
A, 6,00, 7,  1.2,16
A, 6,12, 7,  0.8,16
A, 7,00, 6,  0.7, 1
A, 7,12, 6,  1.3,15
A, 8,00, 6,  1.1,14
A, 8,12, 7,  2.3,15
A, 9,00, 7,  1.7,16
A, 9,12, 7,  1.4, 1
A,10,00, 8,  1.0, 1
A,10,12, 8,  0.6, 1
A,11,00, 6,  0.8,16
A,11,12,11,  0.4, 2
A,12,00, 4,  0.8, 1
A,12,12,13,  0.8, 3
A,13,00,13,  1.6, 2
A,13,12, 7,  2.0,16
A,14,00, 7,  1.7, 1
A,14,12, 7,  2.3,16
A,15,00, 8,  3.5,16
A,15,12,12,  5.4, 1
A,16,00,13,  3.9, 1
A,16,12,13,  3.9, 1
A,17,00,13,  4.1, 1
A,17,12,13,  4.0, 1
A,18,00,13,  3.1, 1
A,18,12,12,  2.7, 1
A,19,00,11,  2.9,16
A,19,12, 8,  3.8,16
A,20,00,12,  4.9, 1
A,20,12,12,  3.4, 2
A,21,00,11,  2.2, 1
A,21,12, 7,  2.1,16
A,22,00, 7,  1.6, 1
A,22,12, 6,  0.6,15
A,23,00, 6,  1.1,15
A,23,12, 6,  1.0,16
A,24,00, 4,  0.6,13
A,24,12, 7,  0.8, 1
A,25,00, 4,  1.6,16
A,25,12, 8,  2.1, 1
A,26,00, 9,  2.8, 1
A,26,12, 8,  2.8,15
A,27,00, 7,  2.6,15
A,27,12, 8,  2.6,16
A,28,00, 7,  1.3, 1
A,28,12,10,  1.7, 1
A,29,00, 7,  2.6,16
A,29,12, 7,  2.5,16
A,30,00, 7,  1.3, 1
A,30,12,10,  1.8, 1
A,31,00, 7,  3.1, 1
A,31,12,11,  3.7, 1
B, 1,00, 8,  1.4,12
B, 1,12, 8,  1.2,12
B, 2,00, 4,  1.2,12
B, 2,12, 4,  1.0,12
B, 3,00, 4,  0.9,12
B, 3,12, 4,  0.8,12
B, 4,00, 4,  1.1,12
B, 4,12, 4,  0.7,12
B, 5,00, 4,  1.0,12
B, 5,12, 7,  1.2,11
B, 6,00, 6,  0.7,11
B, 6,12, 4,  0.9,10
B, 7,00, 6,  0.8,11
B, 7,12, 7,  1.3,10
B, 8,00, 4,  1.0,12
B, 8,12, 4,  1.2,13
B, 9,00, 7,  0.7,12
B, 9,12, 2,  0.4, 8
B,10,00, 6,  0.9,10
B,10,12, 7,  1.4, 9
B,11,00, 6,  0.8, 8
B,11,12, 9,  0.9, 9
B,12,00, 9,  1.1, 8
B,12,12, 9,  1.1, 6
B,13,00, 8,  1.2, 5
B,13,12, 5,  1.7,11
B,14,00, 9,  0.9, 8
B,14,12, 5,  1.4,11
