ínì_,ì˙,éû,é¸ä˙(s),îgçÇ(m),îgå¸(16ï˚à )
A, 1,00, 5,  1.1, 6
A, 1,12, 7,  2.0, 2
A, 2,00, 9,  2.2, 2
A, 2,12, 9,  1.2, 2
A, 3,00, 4,  0.7, 6
A, 3,12, 6,  1.3,15
A, 4,00, 6,  1.0,15
A, 4,12, 6,  0.9,16
A, 5,00, 6,  0.5,16
A, 5,12, 2,  0.3, 1
A, 6,00, 2,  0.2,15
A, 6,12, 8,  0.5, 1
A, 7,00, 5,  1.4, 5
A, 7,12, 7,  2.0, 3
A, 8,00, 8,  1.1, 2
A, 8,12, 9,  0.9, 2
A, 9,00, 8,  0.6, 2
A, 9,12, 8,  0.7,16
A,10,00, 6,  0.6,15
A,10,12, 4,  0.6, 6
A,11,00, 4,  0.6, 8
A,11,12, 4,  0.7, 9
A,12,00, 5,  0.7, 1
A,12,12, 4,  0.8,16
A,13,00, 6,  1.3, 1
A,13,12, 7,  0.9, 3
A,14,00, 4,  0.5,10
A,14,12, 4,  0.7, 9
A,15,00, 4,  0.4, 9
A,15,12, 4,  0.6, 9
A,16,00, 4,  0.5, 9
A,16,12, 6,  0.2,15
A,17,00, 6,  1.1,14
A,17,12, 6,  1.3,15
A,18,00, 7,  1.2,15
A,18,12, 7,  1.7,15
A,19,00,11,  1.4, 1
A,19,12,11,  1.6, 1
A,20,00,10,  1.2, 1
A,20,12,10,  1.0, 1
A,21,00, 9,  0.7, 1
A,21,12, 7,  1.3, 1
A,22,00, 7,  1.2, 2
A,22,12, 7,  0.8, 2
A,23,00, 7,  0.8, 3
A,23,12, 4,  0.8, 7
A,24,00, 5,  0.9, 8
A,24,12, 4,  0.6, 8
A,25,00, 8,  0.3,15
A,25,12, 6,  0.8,14
A,26,00, 7,  1.2,15
A,26,12, 7,  0.7, 1
A,27,00, 5,  1.1, 8
A,27,12, 5,  0.5, 6
A,28,00, 9,  0.8,16
A,28,12, 8,  0.7, 1
A,29,00,12,  0.9, 4
A,29,12,12,  1.0, 3
A,30,00,10,  1.0,15
A,30,12, 4,  1.0,14
A,31,00, 4,  0.7,12
A,31,12, 6,  1.3,16
B, 1,00, 9,  3.4, 7
B, 1,12,12,  4.8, 9
B, 2,00,13,  4.0, 9
B, 2,12,11,  2.1, 9
B, 3,00,10,  1.5, 9
B, 3,12, 7,  1.1,10
B, 4,00, 9,  0.7, 8
B, 4,12,10,  0.8, 9
B, 5,00,12,  1.0, 9
B, 5,12,12,  1.2, 9
B, 6,00,11,  0.7, 9
B, 6,12,11,  0.8, 8
B, 7,00, 7,  2.3, 6
